a back answer,逆答え
agent provocateur,挑発者
agent-based,エージェントベース
agent-based interface,エージェントベースのインターフェース
aggravating circumstances,悪化する状況
aggregate transfer rate,総移転レート
agitate for,扇動する
agnus dei,アグヌス・デイ
agony column,人生相談コーナー
agrarian reform,農地改革
agree to,同意する
agree to differ,意見の相違を認める
agree upon,同意する
agree with,同意する
agreed charge,合意された料金
agreed-upon,合意された
agri-food,農産食品
agricultural products,農産物
ahead of,前に
ahead of one’s times,時代を先取りする
ahead of schedule,予定より早く
ahead of time,事前に
ai players,AIプレイヤー
aid and abet,幇助および教唆
aid post,救護所
aid station,救護所
aiddle america,中西部アメリカ
aide-de-camp,副官
aids-related,エイズ関連
aim at,目標とする
air academy,航空アカデミー
air action,エアアクション
air alert,航空警報
air attack,空襲
air balloon,気球
air base,空軍基地
air bath,エアバス
air bed,エアベッド
air bladder,エアブラダー
air blast,空気の噴射
air brake,エアブレーキ
air brick,通気口
air bubble,気泡
air bus,エアバス
air castle,空中城
air cell,空気室
air chamber,空気室
air chief marshal,空軍元帥
air cleaner,空気清浄機
air command,航空軍
air commodore,少将
air compressor,エアコンプレッサー
air condenser,空気凝縮器
air conditioner,エアコン
air conditioning,空調
air cooler,エアクーラー
air corridor,航空路
air craft,航空機
air craftsman,航空士
air crew,航空機乗務員
air current,空気の流れ
air curtain,エアカーテン
air cushion,エアクッション
air cushion vehicle,エアクッションビークル
air defense drill,防空訓練
air detection,空気検知
air drop,空中投下
air eddy,空気の渦
air express,エアエクスプレス
air fleet,航空機群
air force,空軍
air gas,空気ガス
air gun,エアガン
air hammer,エアハンマー
air hole,空気穴
air hostess,客室乗務員
air jacket,エアジャケット
air jet,エアジェット
air lane,航空路
air letter,エアレター
air lock,エアロック
air log,空気ログ
air mail,航空便
air marshal,空軍元帥
air mass,気団
air mechanic,エアメカニック
air one’s opinion,自分の意見を述べる
air parcel,航空小包
air pillow,エアクッション
air pocket,空気のポケット
air pollution,大気汚染
air power,航空戦力
air pressure,空気圧
air pump,エアポンプ
air raid,空襲
air service,航空サービス
air shaft,換気口
air spring,エアースプリング
air station,航空基地
air strike,空爆
air tank,エアタンク
air terminal,空港ターミナル
air time,放送時間
air travel,空の旅
air turbine,空気タービン
air umbrella,エアアンブレラ
air valve,エアバルブ
air vent,通気口
air vesicle,気泡
air vice marshal,空軍中将
air war,航空戦
air waves,空気波
air wing,航空隊
air-breathing,空気呼吸
air-conditioned,エアコン完備
air-conditioning,空調
air-cooled,空冷式
air-launched,空中発射
air-raid,空襲
air-raid shelter,防空壕
air-raid siren,空襲警報
air-raid warden,防空監視員
air-sea,空海
air-to-air,空対空
air-to-ground,空対地
air-to-surface,空対地
aircraft carrier,空母
aircraft crew,航空機乗務員
aircraft spotter,航空機スポッター
airline company,航空会社
airmail letter,航空便の手紙
airman first class,一等空兵
airman second class,二等空兵
airman third class,三等空兵
airplane carrier,航空母艦
airs and graces,気取った態度
airway bill,気道法案
aisle seat,通路側の席
aix-en-provence,エクス＝アン＝プロヴァンス
aix-la-chapelle,エクス・ラ・シャペル
aix-les-bains,エクス＝レ＝バン
al-adha,アル＝アドハー
al-ahli,アル・アハリ
al-ahly,アル・アハリ
al-ahram,アル・アフラム
al-amin,アルアミン
al-andalus,アル・アンダルス
al-aqsa,アル・アクサ
al-arab,アル・アラブ
al-arabi,アル・アラビ
al-ashraf,アル・アシュラフ
al-assad,アル・アサド
al-awlaki,アル・アウラキ
al-azhar,アル＝アズハル
al-aziz,アル・アジズ
al-bab,アル・バブ
al-baghdadi,アル・バグダディ
al-bashir,アル＝バシール
al-dawla,アル・ダウラ
al-din,アルディン
al-d��n,アル・ディン
al-fitr,アル・フィトル
al-ghazali,アル・ガザーリー
al-hadi,アル・ハディ
al-hajj,アル・ハッジ
al-hakim,アル＝ハキム
al-harith,アル・ハリス
al-hasakah,アル・ハサカ
al-hasan,アル・ハサン
al-hilal,アル・ヒラル
al-husayn,アル・フサイン
al-husayni,アル・フサイニ
al-husseini,アル・フセイニ
al-islam,アル・イスラム
al-ittihad,アル・イッティハド
al-jawiya,アル・ジャウィヤ
al-jazeera,アルジャジーラ
al-ma’mun,アル・マアムーン
al-mahdi,アル・マフディ
al-malik,アル・マリク
al-maliki,アル＝マリキ
al-mansur,アル・マンスール
al-masri,アル・マスリ
al-mutawakkil,アル・ムタワッキル
al-nasr,アル・ナスル
al-nu’man,アル・ヌマン
al-nusra,アル・ヌスラ
al-qaeda,アルカイダ
al-qaeda’s,アルカイダの
al-qaida,アルカイダ
al-qasim,アル・カシム
al-quds,アル・クッズ
al-quwa,アル・クワ
al-rahman,アル・ラフマン
al-rashid,アル・ラシード
al-sabah,アル・サバハ
al-sadiq,アル・サディク
al-sadr,アル・サドル
al-shabaab,アル・シャバブ
al-shabab,アル・シャバブ
al-sham,アル・シャム
al-shaykh,アル・シャイフ
al-shorta,アル・ショルタ
al-tabari,アル・タバリ
al-thani,アル・サーニ
al-walid,アル・ワリド
al-zarqawi,アル・ザルカウィ
al-zawahiri,アル・ザワヒリ
al-zubayr,アル・ズバイル
aladdin’s lamp,アラジンのランプ
alarm bell,警報ベル
alarm bells,警鐘
alarm call,警報
alarm clock,目覚まし時計
alarm controls,アラーム制御
alarm gauge,アラームゲージ
alarm post,警報ポスト
alarm reaction,警報反応
alarm signal,警報信号
alarm whistle,警報笛
album-equivalent,アルバム相当
album-oriented,アルバム指向
albumen plate,卵白プレート
alcatel-lucent,アルカテル・ルーセント
alcohol burner,アルコールバーナー
alcohol level,アルコール濃度
alcohol-related,アルコール関連
alcoholic aldehyde,アルコール性アルデヒド
alcoholic fermentation,アルコール発酵
alert always,常に警告
aleutian islands,アリューシャン列島
alfred nobel,アルフレッド・ノーベル
alginic acid,アルギン酸
algorithms library,アルゴリズムライブラリ
aliabad-e,aliabad-e
alibi oneself,アリバイを自分で作る
alice in wonderland,不思議の国のアリス
alienate from,疎外する
alight from a plane,飛行機から降りる
align with,と一致する
alimentary canal,消化管
alimentary tract,消化管
alive and kicking,元気いっぱい
alkali metals,アルカリ金属
alkali soil,アルカリ性土壌
alkaline earth,アルカリ土類金属
alkaline reaction,アルカリ反応
alkaline-earth metals,アルカリ土類金属
all aboard,全員乗車
all alone,たった一人
all along,ずっと
all along the line,線路沿いにずっと
all and singular,すべてと単数
all and sundry,あらゆる人
all appearance,すべての外観
all around,周囲
all at once,一度に
all at sea,すべては海上で
all but,すべて
all by himself,一人で
all caps,すべて大文字
all clear,すべて異常なし
all day,終日
all day long,一日中
all file details,ファイルの詳細すべて
all flesh,すべての肉
all fools’ day,エイプリルフール
all for naught,全て無駄だった
all for nought,全てが無駄になった
all fours,四つん這い
all get-out,完全に
all his geese are swans.,彼の飼っているガチョウは全部白鳥だ。
all in,オールイン
all in all,全体として
all is not gold that glitters.,光るものすべてが金とは限らない。
all is well that ends well,終わりよければすべてよし
all joshing apart,冗談はさておき
all kindness,すべての親切
all kinds of,あらゆる種類の
all night long,一晩中
all of,すべて
all of a doodah,すべてはドゥーダ
all of a glow,すべてが輝きを放つ
all of a lump,塊全体
all of a muck of sweat,汗まみれ
all of a shake,揺れが全て
all of a sudden,突然
all of a sweat,汗だく
all one knows,知っていることすべて
all one to,すべて1つ
all one’s life,生涯
all out,全力で
all over,いたるところ
all over the shop,店中に散らばっている
all over the world,世界中で
all ready,準備完了
all references,すべての参考文献
all right,よし
all roads lead to rome.,すべての道はローマに通じる。
all round,全体的に
all saints’ day,万聖節
all singular,単数形のみ
all souls’day,万聖節
all square,すべて正方形
all the better,むしろ良い
all the colors of rainbow,虹のすべての色
all the more,ますます
all the same,いずれにしても
all the time,いつも
all the vogue,すべての流行
all the way,最後まで
all the while,その間ずっと
all the world,全世界
all the world to sb.,誰かにとって全世界。
all the year round,一年中
all things considered,すべてを考慮すると
all through,ずっと
all thumbs,すべて親指
all to nothing,全てが無に帰す
all to pieces,すべてバラバラ
all together,全員一緒に
all told,すべて
all too often,あまりにも頻繁に
all up,合計
all wool and a yard wide,すべてウールで幅1ヤード
all your swans are geese.,あなたの言う白鳥は全部ガチョウだ。
all’s well that ends well.,終わりよければすべてよし。
all-academic,学業のみ
all-acc,すべて
all-africa,全アフリカ
all-ages,全年齢対象
all-america,オールアメリカン
all-american,オールアメリカン
