11 Downing Street,唐寧街11
bad news,壞消息
bad news bears,壞消息熊
bad news travels fast,壞消息傳播很快
bad old days,糟糕的過去
bad penny,不值錢的硬幣
bad scran to someone,給某人吃不好的食物
bad taste in one's mouth,令人不快的味道
bad things come in threes,壞事總是成三
bad trip,糟糕的旅行
bad trot,不好的動作
bad up,糟糕
bad word,不當詞
badge bunny,徽章愛好者
badge in,徽章
badge of honor,榮譽徽章
badge out,離開
badge up,裝飾
bag and tag,袋和標籤
bag down,降低
bag of bones,骸
bag of tricks,套路
bag off,嘲諷
bag out,失敗
bag up,裝袋
bah humbug,無聊
bail on,取消
bail out,獲救
bail out on,背棄
bail up,臨時拘留
bait up,引誘
bake in,烘烤
bake off,烘焙比賽
bake out,烘烤
bake something blind,在沒有填料的情況下烘烤
bake up,烘烤
baker's dozen,一個麵包師的份
baker's half dozen,烘焙師的六顆
baking hot,烘烤
balance down,降低
balance out,平衡
balance the books,平衡帳目
balance up,平衡
bale out,逃脫
bale up,打包
ball down,滾動
ball hog,搶球者
ball it off,玩得盡興
ball of fire,火焰
ball of malt,啤酒花
ball off,放任
ball out,大灑開銷
ball up,把...揉成一團
ballast up,穩定
ballistic podiatry,彈道足科
balloon goes up,氣球升空
balloon knot,氣球結
ballpark estimate,大致估計
ballpark figure,大致估計
balls about,無所謂
balls around,浪費時間
balls of steel,堅強
balls on,性愛
balls to the wall,全力以赴
balls to the walls,把球丟到牆上
balls up,搞砸
bally about,閒聊
baloney pony,無用馬
balum rancum,巴盧蘭庫姆
bamboo ceiling,竹制天花板
banana nose,香蕉鼻
banana republic,香蕉共和國
band together,團結
band-aid solution,臨時解決方案
bandwagon fan,跟隨潮流的粉絲
bandwagon jumper,跟風搭車者
bandy about,隨意地說
bandy around,隨意地使用
bane of someone's existence,某人的命根
bang a uey,敲擊
bang about,熱鬧
bang around,隨意擺動
bang away,猛擊
bang down the door,猛敲門
bang for one's buck,物有所值
bang for the buck,物有所值
bang into,猛撞
bang off,一刀兩斷
bang on,完全正確
bang out,表現出色
bang some heads together,促成對立
bang straw,敲擊稻草
bang to rights,一清二楚
bang up,非常棒
bank night,銀行夜
bank on,依賴
bank up,儲蓄
banker's dozen,銀行數
bankers' hours,銀行工作時間
bankrupt cart,破產的購物車
banner year,豐收年
banyan day,榕樹節
bar down,關閉
bar none,無可取代
bar off,排除
bar out,限制
bar sinister,禁標
bar star,酒吧星
bar up,關閉
barbecue up,燒烤
barber's sign,理髮店招牌
bare one's soul,坦露心跡
bare one's teeth,露出牙齒
bare poles,裸電線
barf out,吐出來
bargain away,以低價出售
bargain for,議價
bargain on,議價
barge in,突然介入
barge into,突然闖入
bark up the wrong tree,錯誤地追蹤
barking dogs never bite,吠叫的狗從不咬人
barking dogs seldom bite,吠叫的狗很少咬人
Barkis is willin',巴基斯願意
Barkis is willing,巴基斯願意
barn find,被遺棄的農舍
barrel of laughs,令人捧腹大笑
barrel of monkeys,猴子山
base off,基於
base off of,基於
base on,根據
base over apex,基礎在頂點之上
base upon,基於
based on,根據
basement battler,地下室戰士
bash about,bash 關於
bash into shape,使...變得整齊
bash one out,bash 執行一個命令
bash out,退出
bash someone's face in,摑某人臉
bash someone's head,毆打
bash the bishop,擊敗主教
bash together,一起
bash up,使人難堪
bask in the sunshine,享受陽光
basket house,籃球場
bastardly gullion,卑鄙的騙子
baste up,塗抹
bat a thousand,表現完美
bat about,關於
bat an eyelid,抬一下眼
bat around,兜售
bat away,驅逐
bat five hundred,連續五局均達成安打
bat for the other team,為另一方辯護
bat in,蝙蝠
bat of an eye,眨眼
bat one's eyes,眨眼
bat out,蝙蝠
bat round,棒球
bat the breeze,迎風而行
batch up,一次性處理
bate an ace,一記漂亮球
bathroom singer,浴室歌手
batten down,加固
batten down the hatches,加固防禦
batter up,準備好
battle it out,奮鬥
battle out,激烈競爭
bawl off,哭喊
bawl one's eyes out,痛哭
bawl out,大聲斥責
be a bit much,有點過分
be a hundred years too early,太早了
be a lost cause,毫無希望
be a man,成為一個男子
be a tall order,相當困難
be a thing of the past,已經成為過去
be aces with,非常擅長
be alive with something,充滿某種事物
be all in,全力投入
be all over somebody,全神貫注
be all very well,這沒問題
be along,待著
be around,在附近
be at a loss,不知如何是
be at odds,意見不合
be at pains to do something,竭盡全力
be at the mercy of somebody,依賴某人
be at the mercy of something,依賴
be at the plague,遭受瘟疫
be beside oneself,非常悲傷
be called,被稱為
be careful,小心
be careful what you wish for,小心你的願望
be cruel to be kind,為了善，必須殘忍
be damned,去死
be down with,贊同
be fearful when others are greedy,當他人貪婪時，感到害怕
be for the best,最適合
be greedy when others are fearful,當其他人感到恐懼時，要趁機擴張
be hard pressed,非常困難
be in and out,進而出
be in for,陷入
be in luck,碰上好運
be in the balance,在兩者之間
be in the front line,處於前線
be in the know,了解情況
be in the loop,了解最新情況
be in the market for something,正在尋找
be in the money,很有錢
be in the pipeline,正在進行中
be in the public eye,受到大眾關注
be in the right place at the right time,恰到其時
be in the same boat,處境相同
be in touch,保持聯繫
be into,對... 喜歡
be larger than life,遠大於常人
be left at the post,留在崗位
be left holding the baby,承擔後果
be left kicking,被留下
be like,類似
be make or break for somebody,決定性
be make or break for something,決定性
be mother,成為母親
be my guest,隨意
be news to somebody,對某人來說是新消息
be no match for,難以對抗
be no match for somebody,無法對抗
be no match for something,無法對抗
be nothing short of,毫無例外
be of one's own making,由自己創造的
be of the essence,是核心
be off the mark,偏離正確
be off the wall,非常離譜
be on a roll,節奏良好
be on about,一直在談論
be on bad terms with somebody,與某人疏遠
be on edge,心神不寧
be on good terms with somebody,與某人關係良好
be on guard,保持警惕
be on hand,在手邊
be on hold,暫時停聽
be on one's best behaviour,表現得最好
be on one's guard,保持警惕
be on the level,相當
be on the line,在線上
be on the loose,逍遙法外
be on the march,出發
be on the mend,逐漸好轉
be on the receiving end,成為受害者
be on the run,逃亡
be on the up,處於上升軌道
be on the wing,在翅膀上
be on to,了解
be one of a kind,獨一無二
be one step ahead,領先一步
be one's own man,成為自己人
be one's own person,成為自己
be one's own woman,成為自己
be one's own worst enemy,成為自己最大的敵人
be oneself,做自己
be only a matter of time,只是時間問題
be onto,了解
be out for,外出
be out in force,大量出動
be out of action,無法使用
be out of bounds,超出界限
be out of line,不合適
be out of luck,碰壁
be out of order,不正常
be out of place,格格不入
be out of pocket,不在場
be out of the picture,退出舞台
be out of the way,讓路
be out of this world,非常棒
be out of touch,脫節
be over and done with,結束
be right back,稍等一下
be right up somebody's arse,立刻去某人身邊
be seeing you,很快見
be set in stone,已經確立
be somebody's strong point,成為某人的優勢
be somebody's strong suit,是某人的強項
be someone's to lose,成為某人的財產
be still my heart,請安靜
be taken ill,生病
be thankful for small mercies,感謝微小的恩惠
be that as it may,即便如此
be the bigger man,展現優勢
be the order of the day,成為當日的主題
be there and be square,在場，並且遵守規則
be there or be square,要么去，要么錯
be up somebody's arse,騷擾
be-all and end-all,至高無上
beak off,停止
beam up,將其帶走
bean counter,會計師
bear a hand,提供幫助
bear against,抵抗
bear away,帶走
bear away the bell,奪走鈴鐺
bear down,全力以赴
bear down on,全力以赴
bear fruit,結成果
bear in,考慮
bear in mind,請記住
bear in on,關注
bear in the air,在空中
bear in with,一起
bear off,帶走
bear off from,從...中脫離
bear on,關注
bear oneself,挺身
bear out,證實
bear something in mind,留意
bear testimony to something,證詞
bear the brunt,承受主要壓力
bear up,堅持
bear upon,影響
bear with,忍耐
bear witness to something,目睹
beard the lion in his den,挑戰獅子
Beast from the East,東部強勢
beast on,兇猛的
beast with two backs,雙背的野獸
beat a dead horse,徒勞無功
beat a retreat,撤退
beat about,周旋
beat around the bush,拐彎抹角
beat as one,一起擊敗
beat back,反擊
beat Banaghan,擊敗班哈根
beat down,擊倒
beat feet,跑步
beat into,擊打
beat it,離開
beat like a jungle drum,像叢林鼓一樣震動
beat off,戰勝
beat off with a stick,用棍子擊打
beat on,敲擊
beat one's brain,費盡心思
beat one's meat,滿足自己的慾望
beat one's swords into ploughshares,化武器為農具
beat one's swords into plowshares,將武器轉為農具
beat out,擊敗
beat someone round the ears,狠狠地打罵
beat someone's arse,狠狠地打
beat someone's ass,毆打
beat someone's brains out,徹底擊潰
beat the bishop,擊敗主教
beat the bushes,尋找
beat the clock,趕上時程
beat the cock,擊敗
beat the crowd,在人群中脫穎而出
beat the daylights out of,徹底擊敗
beat the drum for,鼓起支持
beat the dust,清除灰塵
beat the meat,處理肉
beat the odds,克服難以預測的結果
beat the pants off,遠超
beat the poop out of,徹底擊敗
beat the shit out of,徹底擊敗
beat the stuffing out of,徹底擊敗
beat to,配合
beat to the punch,搶先一步
beat up,毆打
beat up on,毆打
beat with the ugly stick,用醜陋的棍子毆打
beats me,我不知道
beautiful people,美麗的人
beauty is but skin-deep,美只是外在
beauty is only skin deep,美只是表面的
beauty is only skin-deep,美只是外在
beauty never boiled the pot,美貌並不能煮沸水
beauty queen,美麗女王
beauty sleep,美容睡眠
beauty won't boil the pot,美貌並不能煮沸水
beauty won't make the pot boil,美貌並不能讓水煮沸
beaver away,努力工作
because is why,因此
because reasons,因為各種原因
because you touch yourself at night,因為你在晚上親自撫摸
become of,變成
become one flesh,成為一體
become one with one's inner self,與內在自我合一
bed and breakfast,民宿
bed blocker,睡眠阻擋器
bed down,安靜
bed in,床
bed of roses,一片薔薇
bed out,睡覺
bee in one's bonnet,在腦海中縈繞
bee tee dubs,蜜蜂
beef out,擴充
beef to the hoof,從頭到蹄
beef up,加強
been darkmans,黑暗之夜
been to the rodeo,去參加馬術比賽
beep out,發出嗶聲
