you,Bạn
nuts,các loại hạt
students,học sinh
birds,chim
social,xã hội
brilliant,xuất sắc
bodies,cơ thể
tie,cà vạt
opened,đã mở
ours,của chúng ta
bucks,con nai đực
kevin,Kevin
mister,thưa ông
ugly,xấu xí
ryan,Ryan
focus,tập trung
dan,dan
opens,mở
exist,hiện hữu
followed,theo sau
england,nước Anh
draw,vẽ tranh
purpose,mục đích
letters,thư từ
daniel,Daniel
opening,mở cửa
bullet,viên đạn
anna,Anna
lately,gần đây
stayed,đã ở lại
falling,rơi
season,mùa
ends,kết thúc
suggest,gợi ý
joy,vui sướng
distance,khoảng cách
responsibility,trách nhiệm
whenever,bất cứ khi nào
issue,vấn đề
thousands,hàng ngàn
process,quá trình
sword,gươm
shower,vòi sen
weak,yếu đuối
fucked,bị địt
lonely,cô đơn
happiness,niềm hạnh phúc
eric,Eric
tiny,nhỏ xíu
desk,bàn làm việc
pool,hồ bơi
property,tài sản
forced,bị ép
settle,ổn định
indistinct,không rõ ràng
weight,cân nặng
received,đã nhận
gang,băng đảng
bite,cắn
friday,Thứ sáu
disappeared,biến mất
interview,phỏng vấn
expecting,mong đợi
kinda,kiểu vậy
surgery,ca phẫu thuật
horses,ngựa
mayor,thị trưởng
babe,em yêu
ancient,cổ đại
handsome,đẹp trai
thomas,Thomas
saturday,Thứ bảy
staff,nhân viên
lines,dòng
unit,đơn vị
fan,cái quạt
gentleman,quý ông
introduce,giới thiệu
fate,định mệnh
split,tách ra
recently,gần đây
expected,hy vọng
add,thêm vào
ordered,đã đặt hàng
slowly,chậm
alarm,báo thức
member,thành viên
slept,ngủ
signed,đã ký
enter,đi vào
spanish,tiếng Tây Ban Nha
garden,vườn
brings,mang lại
brave,can đảm
pig,con lợn
model,người mẫu
finger,ngón tay
medicine,thuốc
access,truy cập
failed,thất bại
flat,phẳng
easily,một cách dễ dàng
discovered,được phát hiện
based,dựa trên
screw,vít
insane,điên cuồng
cares,quan tâm
weather,thời tiết
fingers,ngón tay
san,san
scott,Scott
path,con đường
soft,mềm mại
harm,làm hại
style,phong cách
community,cộng đồng
sees,nhìn thấy
basically,về cơ bản
al,al
signal,tín hiệu
nope,Không
spare,dự phòng
speech,lời nói
covered,được bảo hiểm
shake,lắc
loose,lỏng lẻo
snow,tuyết
russian,tiếng Nga
lake,hồ
bright,sáng
roof,mái nhà
ohh,ồ
sending,gửi
paint,sơn
remind,nhắc lại
pal,bạn
naked,trần truồng
post,bưu kiện
sugar,đường
heading,tiêu đề
streets,đường phố
damage,hư hại
silence,im lặng
doors,cửa
pete,Pete
ed,ed
success,thành công
wet,ướt
nah,không
amount,số lượng
members,thành viên
kate,Kate
manage,quản lý
safety,sự an toàn
returned,đã trả lại
harder,khó hơn
fbi,FBI
block,khối
showing,hiển thị
fancy,si mê
chef,đầu bếp
contract,hợp đồng
dig,đào
chest,ngực
goodbye,tạm biệt
drinks,đồ uống
dave,dave
buried,chôn cất
brian,Brian
trade,buôn bán
journey,hành trình
stomach,cái bụng
changes,thay đổi
details,chi tiết
thoughts,suy nghĩ
divorce,ly hôn
funeral,tang lễ
maria,Maria
football,bóng đá
reality,thực tế
theory,lý thuyết
gosh,trời ơi
ruined,bị phá hủy
gate,cổng
william,William
spread,lây lan
outta,ra khỏi
japanese,tiếng Nhật
sudden,đột ngột
coat,áo choàng
sooner,sớm hơn
cheese,phô mai
larry,Larry
spring,mùa xuân
page,trang
ears,tai
simon,Simon
castle,lâu đài
hidden,ẩn giấu
storm,bão
cos,cos
personally,cá nhân
artist,nghệ sĩ
hill,đồi
exciting,thú vị
permission,sự cho phép
jerry,Jerry
expensive,đắt
tickets,vé
forest,rừng
barely,hầu như không
eggs,trứng
goin,đi
regret,hối tiếc
lesson,bài học
lover,người yêu
bread,bánh mỳ
andy,Andy
subject,chủ thể
legal,hợp pháp
growing,đang phát triển
ill,ốm
jason,Jason
mood,tâm trạng
owner,người sở hữu
caused,gây ra
beeping,tiếng bíp
points,điểm
dating,hẹn hò
loss,sự mất mát
secretary,thư ký
revenge,sự trả thù
santa,ông già Noel
likely,rất có thể
rent,thuê
connection,sự liên quan
assistant,trợ lý
reasons,lý do
yelling,la hét
painting,bức vẽ
trees,cây cối
doctors,bác sĩ
rush,cây bấc
foreign,nước ngoài
rough,thô
murderer,kẻ giết người
century,thế kỷ
nights,đêm
pair,đôi
runs,chạy
pocket,túi
farm,nông trại
matt,mờ
bike,xe đạp
obvious,rõ ràng
ate,ăn
grew,lớn lên
professional,chuyên nghiệp
tim,tim
goodness,lòng tốt
parts,các bộ phận
alan,Alan
university,trường đại học
square,quảng trường
grandfather,ông nội
europe,châu Âu
genius,thiên tài
cases,các trường hợp
ruin,sự đổ nát
winter,mùa đông
tongue,lưỡi
memories,ký ức
da,da
buying,mua
cancer,bệnh ung thư
clock,cái đồng hồ
ocean,đại dương
dna,DNA
liar,kẻ nói dối
tour,chuyến du lịch
thief,tên trộm
bleep,tiếng bíp
lisa,Lisa
rights,quyền
including,bao gồm
competition,cuộc thi
smith,thợ rèn
planned,đã lên kế hoạch
emily,Emily
boring,nhạt nhẽo
victims,nạn nhân
mentioned,được nhắc đến
bones,xương
plant,thực vật
bless,chúc phúc
warning,cảnh báo
knocking,gõ cửa
re,nốt Rê
crash,tai nạn
bedroom,phòng ngủ
lower,thấp hơn
silver,bạc
groaning,rên rỉ
madame,thưa bà
defense,phòng thủ
results,kết quả
toilet,nhà vệ sinh
event,sự kiện
complicated,phức tap
shape,hình dạng
priest,linh mục
royal,hoàng gia
cheap,rẻ
romantic,lãng mạn
downstairs,tầng dưới
invite,mời
fortune,vận may
tears,nước mắt
avoid,tránh xa
reached,đạt
higher,cao hơn
familiar,thân thuộc
telephone,điện thoại
burning,đang cháy
filled,điền
kelly,Kelly
alice,Alice
airport,sân bay
jobs,việc làm
grown,lớn lên
walter,Walter
rachel,Rachel
giant,người khổng lồ
insurance,bảo hiểm
woods,rừng
n,N
scare,sự sợ hãi
pleased,vừa lòng
period,Giai đoạn
political,thuộc về chính trị
player,người chơi
stops,dừng lại
secrets,bí mật
laura,Laura
repeat,lặp lại
photos,ảnh
finds,phát hiện
statement,tuyên bố
suck,hút
younger,trẻ hơn
china,Trung Quốc
humans,con người
delicious,thơm ngon
particular,cụ thể
proper,thích hợp
rome,Rome
belongs,thuộc về
attacked,tấn công
bath,bồn tắm
hired,thuê
site,địa điểm
knowledge,kiến thức
b,b
led,dẫn đến
guests,khách
celebrate,kỉ niệm
map,bản đồ
horn,còi
eventually,sau cùng
pity,lòng thương xót
powers,quyền lực
ashamed,xấu hổ
assume,cho rằng
glasses,kính
rise,tăng lên
fixed,đã sửa
request,lời yêu cầu
officers,sĩ quan
pounds,pound
data,dữ liệu
carefully,cẩn thận
per,mỗi
depends,tùy thuộc
jury,bồi thẩm đoàn
waited,đã chờ đợi
positive,tích cực
attorney,luật sư
direction,phương hướng
families,gia đình
‘clock,'cái đồng hồ
doin,đang làm
forces,lực lượng
location,vị trí
walls,tường
useless,vô ích
grant,khoản trợ cấp
saving,tiết kiệm
speaks,nói
fought,đã chiến đấu
meal,bữa ăn
deliver,giao
answers,câu trả lời
changing,thay đổi
temple,ngôi đền
scary,đáng sợ
millions,hàng triệu
offered,ngỏ ý
regular,thường xuyên
carrying,mang theo
official,chính thức
jacket,áo khoác
switch,công tắc
grave,mộ
chase,đuổi
role,vai trò
odd,số lẻ
sexy,gợi cảm
faces,khuôn mặt
becomes,trở thành
closes,đóng cửa
badly,tệ hại
tall,cao
confused,bối rối
affair,chuyện tình
television,tivi
shock,sốc
raised,nâng lên
panting,thở hổn hển
pizza,pizza
image,hình ảnh
clears,xóa
golden,vàng
patients,bệnh nhân
watched,đã xem
committed,tận tụy
sexual,tình dục
suffer,chịu đựng
arthur,Arthur
wherever,bất cứ nơi nào
plate,đĩa
appear,xuất hiện
chocolate,sôcôla
clever,thông minh
hm,hừm
mercy,lòng thương xót
shots,ảnh
lucy,Lucy
dealing,xử lý
trap,cạm bẫy
charges,phí
phil,Phil
bang,tiếng nổ
poison,chất độc
butt,mông
drove,lái xe
yourselves,chính các bạn
headed,hướng tới
babies,trẻ sơ sinh
yellow,màu vàng
soup,canh
mystery,bí ẩn
picking,chọn
sat,đã ngồi
wound,vết thương
traffic,giao thông
courage,lòng can đảm
hunt,săn bắn
indian,Ấn Độ
rat,con chuột
terms,điều khoản
italian,tiếng Ý
emma,Emma
checking,kiểm tra
disease,bệnh
managed,được quản lý
winner,người chiến thắng
council,hội đồng
appointment,cuộc hẹn
monday,Thứ hai
crack,nứt
threat,mối đe dọa
jenny,Jenny
physical,thuộc vật chất
nation,Quốc gia
source,nguồn
chose,đã chọn
healthy,khỏe mạnh
carl,Carl
victory,chiến thắng
rick,đụn rơm
stood,đứng
kicked,đá
annie,Annie
disgusting,kinh tởm
palace,cung điện
below,dưới
shopping,mua sắm
neighborhood,hàng xóm
march,bước đều
lips,môi
midnight,nửa đêm
piss,nước tiểu
advantage,lợi thế
pure,nguyên chất
india,Ấn Độ
aside,ngoài ra
jerk,đồ khốn
mail,thư
dawn,bình minh
effect,tác dụng
spell,Đánh vần
freak,quái dị
wood,gỗ
screwed,hơi say
enemies,kẻ thù
gary,Gary
awake,thức giấc
chuckling,cười khúc khích
vacation,kì nghỉ
violence,bạo lực
leo,sư tử
grandmother,bà
modern,hiện đại
luke,Luke
firm,vững chãi
prime,xuất sắc
heh,ừm
touched,chạm vào
talent,tài năng
whore,gái điếm
piano,đàn piano
license,giấy phép
cooking,nấu ăn
honour,tôn kính
concern,bận tâm
moves,di chuyển
available,có sẵn
factory,nhà máy
gods,các vị thần
value,giá trị
central,trung tâm
union,công đoàn
mirror,gương
studio,phòng thu
media,phương tiện truyền thông
taxi,Taxi
dies,chết
iron,sắt
hearts,trái tim
desire,sự mong muốn
rob,cướp
claire,Claire
fred,Fred
songs,bài hát
washington,Washington
monkey,con khỉ
pride,kiêu hãnh
pills,thuốc viên
miracle,phép lạ
swim,bơi
burned,bị cháy
smells,mùi hương
joking,đùa thôi
christian,Kitô giáo
bleeding,chảy máu
hook,cái móc
beating,đánh bại
protection,sự bảo vệ
treatment,sự đối đãi
ear,tai
carter,Carter
metal,kim loại
disappear,biến mất
grateful,tri ân
extremely,vô cùng
treasure,kho báu
rescue,giải thoát
capable,có khả năng
passing,đi qua
chatter,trò chuyện
result,kết quả
suffering,đau khổ
sisters,chị em gái
laid,đặt
governor,thống đốc
guards,bảo vệ
louis,Louis
text,chữ
literally,theo đúng nghĩa đen
remove,di dời
becoming,trở thành
performance,hiệu suất
stronger,mạnh hơn
rate,tỷ lệ
deeply,sâu sắc
scream,la hét
desert,sa mạc
vehicle,phương tiện giao thông
illegal,bất hợp pháp
pulling,kéo
throwing,ném
josh,Josh
unbelievable,không thể tin được
ted,ted
zero,số không
dean,trưởng khoa
curious,tò mò
sean,Sean
candy,kẹo
bone,xương
tied,buộc
edge,bờ rìa
load,trọng tải
susan,Susan
ahh,àh
mountains,núi
boom,bùng nổ
former,trước
holiday,ngày lễ
riding,cưỡi
scoffs,chế giễu
hundreds,hàng trăm
motherfucker,đồ khốn nạn
sue,kiện tụng
bags,túi
stealing,trộm cắp
appears,xuất hiện
arrive,đến
remains,vẫn còn
decent,tử tế
issues,vấn đề
tip,mẹo
fail,thất bại
bride,cô dâu
pissed,tức giận
penny,đồng xu
claim,khẳng định
friendship,tình bạn
desperate,tuyệt vọng
flower,hoa
dramatic,kịch
refuse,từ chối
solve,gỡ rối
theme,chủ đề
loving,yêu thương
properly,đúng cách
dragon,rồng
mostly,hầu hết
chuck,Chuck
directly,trực tiếp
surface,bề mặt
false,SAI
cast,dàn diễn viên
junior,nhỏ
hunting,săn bắn
silent,im lặng
thou,bạn
egg,trứng
germany,Đức
punch,cú đấm
africa,Châu phi
woke,tỉnh dậy
intelligence,trí thông minh
borrow,vay mượn
winning,chiến thắng
falls,thác
popular,phổ biến
escaped,trốn thoát
witch,phù thủy
convinced,thuyết phục
warn,cảnh báo
announcer,người phát thanh viên
champagne,rượu sâm panh
dust,bụi
kyle,Kyle
someday,một ngày nào đó
fallen,rơi
stranger,người lạ
presence,sự hiện diện
tear,xé
st.,thánh
internet,internet
monsieur,thưa ông
therefore,Vì vậy
technology,công nghệ
tires,lốp xe
toast,nướng
wise,khôn ngoan
clark,Clark
americans,người Mỹ
notes,ghi chú
smoking,hút thuốc
hank,Hank
ls,ls
april,tháng tư
wolf,sói
precious,quý giá
rooms,phòng
coast,bờ biển
treated,được điều trị
material,vật liệu
released,phát hành
uniform,đồng phục
hated,bị ghét
considered,được xem xét
rice,cơm
exchange,trao đổi
steps,các bước
blake,Blake
convince,thuyết phục
beast,quái thú
cow,con bò
files,tệp
signs,biển báo
drag,lôi kéo
cab,xe taxi
hung,treo
carried,mang theo
ordinary,bình thường
successful,thành công
eve,đêm
mistakes,lỗi
houses,nhà
chattering,trò chuyện rôm rả
brains,não bộ
japan,Nhật Bản
creature,sinh vật
fourth,thứ tư
separate,chia
cleaning,dọn dẹp
california,California
lf,lf
ll,tất cả
shift,sự thay đổi
elizabeth,Elizabeth
chicago,Chicago
exact,chính xác
karen,Karen
goal,mục tiêu
expert,chuyên gia
served,phục vụ
direct,trực tiếp
score,điểm
row,hàng ngang
marks,dấu hiệu
twenty,hai mươi
receive,nhận được
series,loạt
section,phần
pilot,phi công
jackson,Jackson
darkness,bóng tối
thy,của bạn
sale,doanh thu
destiny,định mệnh
cure,sự chữa bệnh
spoken,nói
armed,vũ trang
rare,hiếm
helen,Helen
grade,cấp
juice,nước ép
wide,rộng
tower,tháp
solution,giải pháp
schedule,lịch trình
explosion,vụ nổ
wheel,bánh xe
cigarette,thuốc lá
julie,Julie
fruit,hoa quả
blew,thổi
victor,người chiến thắng
talks,đàm phán
sacrifice,hy sinh
range,phạm vi
button,cái nút
reports,báo cáo
prisoner,tù nhân
pie,bánh
effort,cố gắng
youth,thiếu niên
pot,chậu
eaten,đã ăn
taylor,taylor
knees,đầu gối
garage,ga-ra
parking,đỗ xe
ambulance,xe cứu thương
staring,nhìn chằm chằm
chances,cơ hội
circumstances,trường hợp
sin,tội lỗi
gordon,Gordon
progress,tiến triển
unusual,bất thường
county,quận
stairs,cầu thang
campaign,chiến dịch
‘mon,'mon
vision,tầm nhìn
reporter,phóng viên
equipment,thiết bị
moments,những khoảnh khắc
joey,Joey
mass,khối
alien,người ngoài hành tinh
trapped,bị mắc kẹt
helps,giúp đỡ
route,tuyến đường
defend,phòng vệ
trace,dấu vết
nasty,bẩn thỉu
tests,kiểm tra
magazine,tạp chí
rocks,đá
dump,bãi rác
rude,bất lịch sự
searching,tìm kiếm
clue,manh mối
connected,đã kết nối
amen,Amen
pushed,đẩy
merry,vui
zone,vùng
senior,người lớn tuổi
closing,kết thúc
freeze,đông cứng
emperor,hoàng đế
incident,sự cố
snake,rắn
mexico,Mexico
lily,hoa huệ
actor,diễn viên
newspaper,báo
sentence,câu
greg,Greg
leading,dẫn đầu
friendly,thân thiện
jones,Jones
chosen,được chọn
engaged,đính hôn
julia,Julia
charming,quyến rũ
mustn,phải
anger,sự tức giận
spending,chi tiêu
learning,học hỏi
spy,gián điệp
sharp,sắc
shadow,bóng tối
warrant,lệnh bắt giữ
elevator,thang máy
kingdom,vương quốc
ricky,ricky
jamie,Jamie
squad,đội
shoulder,vai
wave,sóng
amanda,Amanda
highness,thưa điện hạ
kinds,các loại
fishing,câu cá
sometime,đôi khi
attitude,thái độ
sucks,tệ
negative,tiêu cực
screen,màn hình
workers,công nhân
bored,chán
cameras,máy ảnh
similar,tương tự
understanding,hiểu biết
beeps,tiếng bíp
chain,xích
bull,bò
gasping,thở hổn hển
fully,hoàn toàn
robin,chim sẻ
collect,sưu tầm
gorgeous,lộng lẫy
morgan,Morgan
passion,niềm đam mê
writer,nhà văn
empire,đế chế
international,quốc tế
curse,lời nguyền
hire,thuê
bastards,lũ khốn
puts,đặt
leads,dẫn đầu
id,nhận dạng
blows,những cú đánh
sons,con trai
estate,tài sản
customers,khách hàng
maggie,Maggie
gunshot,tiếng súng
i—,Tôi-
device,thiết bị
troops,quân đội
hug,ôm
design,thiết kế
movement,sự chuyển động
thunder,sấm sét
object,sự vật
loser,kẻ thất bại
pen,cái bút
sobbing,khóc nức nở
politics,chính trị
despite,cho dù
alcohol,rượu bia
climb,leo
clients,khách hàng
conference,hội nghị
provide,cung cấp
marty,Marty
seek,tìm kiếm
witnesses,nhân chứng
earn,kiếm
trash,rác
valley,thung lũng
fashion,thời trang
howard,Howard
episode,tập phim
prize,phần thưởng
previously,trước đây
sports,thể thao
wanting,muốn
debt,món nợ
wishes,những lời chúc
hitler,hitler
wire,dây điện
thee,bạn
circle,vòng tròn
approach,tiếp cận
stock,Cổ phần
facts,sự thật
remembered,được ghi nhớ
percent,phần trăm
normally,thông thường
tail,đuôi
joined,đã tham gia
education,giáo dục
bravo,Tuyệt vời!
library,thư viện
rape,hiếp dâm
wings,cánh
growling,gầm gừ
thrown,ném
tank,xe tăng
exhales,thở ra
authority,thẩm quyền
current,hiện hành
failure,sự thất bại
nightmare,cơn ác mộng
hitting,đánh
glory,vinh quang
knocked,gõ cửa
studying,học
barry,Barry
agency,hãng
apple,quả táo
border,ranh giới
rope,dây thừng
duck,con vịt
reputation,danh tiếng
confidence,sự tự tin
yard,sân
beloved,người yêu dấu
lack,thiếu
actual,thật sự
skills,kỹ năng
films,phim
mental,tâm thần
salt,muối
flesh,thịt
anne,Anne
secure,chắc chắn
highly,rất cao
federal,liên bang
sand,cát
emotional,xúc động
setting,cài đặt
nothin,không có gì
senator,thượng nghị sĩ
services,dịch vụ
robbery,cướp
hates,ghét
fed,cho ăn
reward,phần thưởng
