you,คุณ
code,รหัส
note,บันทึก
tommy,ทอมมี่
due,เนื่องจาก
correct,ถูกต้อง
apologize,ขอโทษ
language,ภาษา
stars,ดาว
faster,เร็วขึ้น
cars,รถยนต์
folks,ทุกท่าน
bullshit,เรื่องไร้สาระ
i.,ฉัน.
fellow,เพื่อน
several,หลาย
grandma,ยาย
shows,แสดงให้เห็นว่า
leader,ผู้นำ
leaves,ออกจาก
restaurant,ร้านอาหาร
east,ทิศตะวันออก
shouting,ตะโกน
blind,ตาบอด
ghost,ผี
cup,ถ้วย
gotten,ได้รับ
tight,แน่น
conversation,การสนทนา
tells,บอก
lies,โกหก
nor,ก็ไม่เช่นกัน
pulled,ดึง
hanging,แขวน
speed,ความเร็ว
stories,เรื่องราว
health,สุขภาพ
advice,คำแนะนำ
held,จัดขึ้น
uh-huh,อือฮือ
murdered,ถูกฆาตกรรม
beyond,เกิน
rule,กฎ
hardly,แทบจะไม่
possibly,อาจเป็นไปได้
inspector,ผู้ตรวจสอบ
cousin,ลูกพี่ลูกน้อง
trial,การทดลอง
emergency,ภาวะฉุกเฉิน
ought,ควร
eddie,เอ็ดดี้
somehow,อย่างไรก็ตาม
hearing,การได้ยิน
states,รัฐ
account,บัญชี
spoke,พูด
file,ไฟล์
understood,เข้าใจแล้ว
angel,นางฟ้า
tape,เทป
milk,น้ำนม
powerful,ทรงพลัง
weapons,อาวุธ
practice,ฝึกฝน
manager,ผู้จัดการ
pardon,ขอโทษ
vote,ลงคะแนน
jake,เจค
national,ระดับชาติ
career,อาชีพ
minister,รัฐมนตรี
super,สุดยอด
taught,สอน
robert,โรเบิร์ต
biggest,ใหญ่ที่สุด
plays,เล่น
natural,เป็นธรรมชาติ
dancing,เต้นรำ
copy,สำเนา
plus,บวก
martin,มาร์ติน
cake,เค้ก
freedom,เสรีภาพ
among,ท่ามกลาง
breath,ลมหายใจ
operation,การดำเนินการ
chris,คริส
crew,ลูกทีม
challenge,ท้าทาย
market,ตลาด
meat,เนื้อ
towards,ต่อ
bringing,นำมาซึ่ง
dropped,ตก
student,นักเรียน
lied,โกหก
strength,ความแข็งแกร่ง
size,ขนาด
breathe,หายใจ
color,สี
monster,มอนสเตอร์
loud,ดัง
photo,รูปถ่าย
aw,โอ้
nearly,เกือบ
sight,ภาพ
greatest,ยิ่งใหญ่ที่สุด
games,เกมส์
bridge,สะพาน
dressed,แต่งตัว
arrested,ถูกจับ
horrible,น่ากลัว
coach,โค้ช
planning,การวางแผน
checked,ตรวจสอบแล้ว
breaking,การแตกหัก
noticed,สังเกตเห็น
fantastic,มหัศจรรย์
screams,เสียงกรีดร้อง
serve,ให้บริการ
ideas,ความคิด
investigation,การสืบสวน
center,ศูนย์
older,แก่กว่า
pack,หีบห่อ
soldiers,ทหาร
nonsense,เรื่องไร้สาระ
doc,เอกสาร
project,โครงการ
training,การฝึกอบรม
example,ตัวอย่าง
trick,เล่ห์เหลี่ยม
prepared,เตรียมไว้
science,ศาสตร์
united,สหรัฐ
travel,การท่องเที่ยว
incredible,เหลือเชื่อ
grandpa,คุณปู่
paying,การจ่ายเงิน
character,อักขระ
teeth,ฟัน
criminal,อาชญากร
charles,ชาร์ลส์
chinese,ชาวจีน
truly,อย่างแท้จริง
honestly,สุจริต
bro,พี่ชาย
survive,รอดชีวิต
bobby,บ็อบบี้
target,เป้า
feed,ให้อาหาร
nurse,พยาบาล
e,อี
fake,ปลอม
records,บันทึก
breathing,การหายใจ
sweetie,ที่รัก
numbers,ตัวเลข
oil,น้ำมัน
suicide,การฆ่าตัวตาย
belong,เป็นของ
whoo,วู้
perfectly,อย่างสมบูรณ์แบบ
amy,เอมี่
forgotten,ลืมเลือน
remain,ยังคง
original,ต้นฉบับ
papa,พ่อ
onto,บน
concerned,น่ากังวล
credit,เครดิต
ugh,ฮึ
invited,ได้รับเชิญ
discuss,หารือ
research,วิจัย
easier,ง่ายขึ้น
view,ดู
chair,เก้าอี้
hurts,เจ็บ
strike,โจมตี
roger,โรเจอร์
fill,เติม
condition,เงื่อนไข
mountain,ภูเขา
dr,ดร.
nowhere,ไม่มีที่ไหนเลย
sheriff,นายอำเภอ
kim,คิม
turning,หมุน
brown,สีน้ำตาล
recognize,จำได้
heads,หัว
audience,ผู้ชม
‘all,'ทั้งหมด
jealous,อิจฉา
pretend,แกล้งทำ
society,สังคม
finding,การค้นพบ
shirt,เสื้อ
comfortable,สะดวกสบาย
meaning,ความหมาย
guest,แขก
pieces,ชิ้นส่วน
dry,แห้ง
letting,การปล่อย
began,เริ่มต้น
aye,ใช่
jeff,เจฟฟ์
female,หญิง
release,ปล่อย
ho,โฮ
cards,การ์ด
pray,อธิษฐาน
unfortunately,น่าเสียดาย
balls,ลูกบอล
destroyed,ถูกทำลาย
ended,จบแล้ว
universe,จักรวาล
prepare,เตรียมตัว
opinion,ความคิดเห็น
movies,ภาพยนตร์
soldier,ทหาร
wash,ล้าง
program,โปรแกรม
heat,ความร้อน
usual,ตามปกติ
ticket,ตั๋ว
stolen,ถูกขโมย
prefer,ชอบมากกว่า
aware,รับรู้
surely,แน่นอน
male,ชาย
base,ฐาน
matters,เรื่องต่างๆ
lift,ยก
lab,ห้องปฏิบัติการ
command,สั่งการ
proof,การพิสูจน์
cream,ครีม
selling,ขาย
believed,เชื่อ
create,สร้าง
h,ชม.
afford,จ่ายได้
sunday,วันอาทิตย์
total,ทั้งหมด
dumb,โง่
threw,โยน
france,ฝรั่งเศส
birth,การเกิด
created,สร้าง
realized,ที่ตระหนักรู้
british,บริติช
noise,เสียงรบกวน
nuts,ถั่ว
students,นักเรียน
birds,นก
social,ทางสังคม
brilliant,ฉลาดหลักแหลม
bodies,ร่างกาย
tie,ผูก
opened,เปิด
ours,ของเรา
bucks,เงินดอลลาร์
kevin,เควิน
mister,คุณมิสเตอร์
ugly,น่าเกลียด
ryan,ไรอัน
focus,จุดสนใจ
dan,แดน
opens,เปิด
exist,มีอยู่
followed,ตามมา
england,อังกฤษ
draw,วาด
purpose,วัตถุประสงค์
letters,จดหมาย
daniel,แดเนียล
opening,เปิด
bullet,กระสุน
anna,แอนนา
lately,เมื่อเร็วๆ นี้
stayed,พักอยู่
falling,ตก
season,ฤดูกาล
ends,สิ้นสุด
suggest,แนะนำ
joy,ความสุข
distance,ระยะทาง
responsibility,ความรับผิดชอบ
whenever,เมื่อใดก็ตาม
issue,ปัญหา
thousands,หลายพัน
process,กระบวนการ
sword,ดาบ
shower,อาบน้ำ
weak,อ่อนแอ
fucked,ระยำ
lonely,เหงา
happiness,ความสุข
eric,เอริค
tiny,ขนาดเล็ก
desk,โต๊ะ
pool,สระน้ำ
property,คุณสมบัติ
forced,บังคับ
settle,ชำระ
indistinct,ไม่ชัดเจน
weight,น้ำหนัก
received,ได้รับ
gang,แก๊ง
bite,กัด
friday,วันศุกร์
disappeared,หายไป
interview,สัมภาษณ์
expecting,คาดหวัง
kinda,เล็กน้อย
surgery,การผ่าตัด
horses,ม้า
mayor,นายกเทศมนตรี
babe,ที่รัก
ancient,โบราณ
handsome,หล่อ
thomas,โทมัส
saturday,วันเสาร์
staff,พนักงาน
lines,เส้น
unit,หน่วย
fan,พัดลม
gentleman,สุภาพบุรุษ
introduce,แนะนำ
fate,โชคชะตา
split,แยก
recently,ล่าสุด
expected,ที่คาดหวัง
add,เพิ่ม
ordered,สั่งซื้อ
slowly,ช้า
alarm,เตือน
member,สมาชิก
slept,นอนหลับ
signed,ลงนาม
enter,เข้า
spanish,ภาษาสเปน
garden,สวน
brings,นำมา
brave,กล้าหาญ
pig,หมู
model,แบบอย่าง
finger,นิ้ว
medicine,ยา
access,เข้าถึง
failed,ล้มเหลว
flat,แบน
easily,อย่างง่ายดาย
discovered,ค้นพบ
based,ซึ่งเป็นรากฐาน
screw,สกรู
insane,บ้า
cares,ความห่วงใย
weather,สภาพอากาศ
fingers,นิ้วมือ
san,ซาน
scott,สกอตต์
path,เส้นทาง
soft,อ่อนนุ่ม
harm,อันตราย
style,สไตล์
community,ชุมชน
sees,เห็น
basically,โดยพื้นฐานแล้ว
al,อัล
signal,สัญญาณ
nope,ไม่
spare,สำรอง
speech,คำพูด
covered,ครอบคลุม
shake,เขย่า
loose,หลวม
snow,หิมะ
russian,รัสเซีย
lake,ทะเลสาบ
bright,สว่าง
roof,หลังคา
ohh,โอ้
sending,การส่ง
paint,สี
remind,เตือน
pal,เพื่อน
naked,เปลือย
post,โพสต์
sugar,น้ำตาล
heading,หัวข้อ
streets,ถนน
damage,ความเสียหาย
