you,ты
guests,гости
celebrate,праздновать
map,карта
horn,рог
eventually,в конце концов
pity,жалость
powers,силы
ashamed,стыдящийся
assume,предполагать
glasses,очки
rise,рост
fixed,зафиксированный
request,запрос
officers,офицеры
pounds,фунты
data,данные
carefully,осторожно
per,за
depends,зависит от
jury,жюри
waited,ждал
positive,положительный
attorney,адвокат
direction,направление
families,семьи
‘clock,'часы
doin,делает
forces,силы
location,расположение
walls,стены
useless,бесполезный
grant,грант
saving,экономия
speaks,говорит
fought,дрался
meal,еда
deliver,доставлять
answers,ответы
changing,изменение
temple,храм
scary,страшный
millions,миллионы
offered,предложенный
regular,обычный
carrying,переноска
official,официальный
jacket,куртка
switch,выключатель
grave,могила
chase,гнаться
role,роль
odd,странный
sexy,сексуальный
faces,лица
becomes,становится
closes,закрывается
badly,плохо
tall,высокий
confused,смущенный
affair,роман
television,телевидение
shock,шок
raised,поднятый
panting,задыхаясь
pizza,пицца
image,изображение
clears,очищает
golden,золотой
patients,пациентов
watched,смотрел
committed,преданный идее
sexual,сексуальный
suffer,страдать
arthur,Артур
wherever,где бы то ни было
plate,тарелка
appear,появляться
chocolate,шоколад
clever,умный
hm,хм
mercy,милосердие
shots,выстрелы
lucy,Люси
dealing,сделка
trap,ловушка
charges,обвинения
phil,Фил
bang,хлопнуть
poison,яд
butt,задница
drove,ехал
yourselves,сами
headed,возглавлял
babies,младенцы
yellow,желтый
soup,суп
mystery,тайна
picking,выбор
sat,сат
wound,ранить
traffic,трафик
courage,храбрость
hunt,охота
indian,индийский
rat,крыса
terms,условия
italian,итальянский
emma,Эмма
checking,проверка
disease,болезнь
managed,удалось
winner,победитель
council,совет
appointment,встреча
monday,понедельник
crack,трескаться
threat,угроза
jenny,Дженни
physical,физический
nation,нация
source,источник
chose,выбрал
healthy,здоровый
carl,Карл
victory,победа
rick,рик
stood,стоял
kicked,пнул
annie,Энни
disgusting,отвратительный
palace,дворец
below,ниже
shopping,покупки
neighborhood,район
march,маршировать
lips,губы
midnight,полночь
piss,моча
advantage,преимущество
pure,чистый
india,Индия
aside,в сторону
jerk,придурок
mail,почта
dawn,рассвет
effect,эффект
spell,заклинание
freak,ненормальный
wood,древесина
screwed,закрученный
enemies,враги
gary,Гэри
awake,бодрствующий
chuckling,хихикая
vacation,отпуск
violence,насилие
leo,Лео
grandmother,бабушка
modern,современный
