you,आप
शुरू किया,aye
ऐ,jeff
जेफ,female
महिला,release
मुक्त करना,ho
हो,cards
कार्ड,pray
प्रार्थना करना,unfortunately
दुर्भाग्य से,balls
गेंदों,destroyed
नष्ट किया हुआ,ended
समाप्त,universe
ब्रह्मांड,prepare
तैयार करना,opinion
राय,movies
फ़िल्में,soldier
सैनिक,wash
धोना,program
कार्यक्रम,heat
गर्मी,usual
साधारण,ticket
टिकट,stolen
चुराया हुआ,prefer
पसंद करना,aware
जागरूक,surely
निश्चित रूप से,male
पुरुष,base
आधार,matters
मामले,lift
उठाना,lab
प्रयोगशाला,command
आज्ञा,proof
सबूत,cream
क्रीम,selling
बिक्री,believed
माना जाता है कि,create
बनाएं,h
एच,afford
वहन,sunday
रविवार,total
कुल,dumb
गूंगा,threw
फेंका,france
फ्रांस,birth
जन्म,created
बनाया था,realized
समझना,british
ब्रीटैन का,noise
शोर,nuts
पागल,students
छात्र,birds
पक्षियों,social
सामाजिक,brilliant
शानदार,bodies
निकायों,tie
बाँधना,opened
खोला गया,ours
हमारा,bucks
बक्स,kevin
केविन,mister
श्रीमान,ugly
कुरूप,ryan
रयान,focus
केंद्र,dan
दान,opens
खुलता है,exist
अस्तित्व,followed
पालन किया,england
इंगलैंड,draw
खींचना,purpose
उद्देश्य,letters
पत्र,daniel
डैनियल,opening
उद्घाटन,bullet
गोली,anna
अन्ना,lately
हाल ही में,stayed
रुका,falling
गिरना,season
मौसम,ends
समाप्त होता है,suggest
सुझाव देना,joy
आनंद,distance
दूरी,responsibility
ज़िम्मेदारी,whenever
जब कभी भी,issue
मुद्दा,thousands
हजारों,process
प्रक्रिया,sword
तलवार,shower
फव्वारा,weak
कमज़ोर,fucked
गड़बड़,lonely
अकेला,happiness
ख़ुशी,eric
एरिक,tiny
छोटा,desk
मेज़,pool
पूल,property
संपत्ति,forced
मजबूर,settle
निपटारा करना,indistinct
अस्पष्ट,weight
वज़न,received
प्राप्त,gang
गिरोह,bite
काटना,friday
शुक्रवार,disappeared
गायब हुआ,interview
साक्षात्कार,expecting
अपेक्षा करना,kinda
एक तरह का,surgery
शल्य चिकित्सा,horses
घोड़ों,mayor
महापौर,babe
बच्चा,ancient
प्राचीन,handsome
आकर्षक,thomas
थॉमस,saturday
शनिवार,staff
कर्मचारी,lines
पंक्तियां,unit
इकाई,fan
पंखा,gentleman
सज्जन,introduce
परिचय देना,fate
भाग्य,split
विभाजित करना,recently
हाल ही में,expected
अपेक्षित,add
जोड़ना,ordered
आदेश दिया,slowly
धीरे से,alarm
खतरे की घंटी,member
सदस्य,slept
सो गए,signed
पर हस्ताक्षर किए,enter
प्रवेश करना,spanish
स्पैनिश,garden
बगीचा,brings
लाता है,brave
बहादुर,pig
सुअर,model
नमूना,finger
उँगलिया,medicine
दवा,access
पहुँच,failed
असफल,flat
समतल,easily
आसानी से,discovered
की खोज की,based
आधारित,screw
पेंच,insane
पागल,cares
चिन्ताओं,weather
मौसम,fingers
उंगलियों,san
सैन,scott
स्कॉट,path
पथ,soft
कोमल,harm
चोट,style
शैली,community
समुदाय,sees
देखता है,basically
मूल रूप से,al
अल,signal
संकेत,nope
नहीं,spare
अतिरिक्त,speech
भाषण,covered
ढका हुआ,shake
हिलाना,loose
ढीला,snow
बर्फ,russian
रूसी,lake
झील,bright
चमकदार,roof
छत,ohh
ओह,sending
भेजना,paint
रँगना,remind
याद दिलाना,pal
दोस्त,naked
नंगा,post
डाक,sugar
चीनी,heading
शीर्षक,streets
सड़कों,damage
हानि,silence
मौन,doors
दरवाजे,pete
पीट,ed
एड,success
सफलता,wet
गीला,nah
नः,amount
मात्रा,members
सदस्यों,kate
कैट,manage
प्रबंधित करना,safety
सुरक्षा,returned
लौटा हुआ,harder
और जोर से,fbi
एफबीआई,block
अवरोध पैदा करना,showing
दिखा,fancy
कल्पना,chef
शेफ,contract
अनुबंध,dig
खोदना,chest
छाती,goodbye
अलविदा,drinks
पेय,dave
डेव,buried
दफ़नाया गया,brian
ब्रायन,trade
व्यापार,journey
यात्रा,stomach
पेट,changes
परिवर्तन,details
विवरण,thoughts
विचार,divorce
तलाक,funeral
अंतिम संस्कार,maria
मारिया,football
फ़ुटबॉल,reality
वास्तविकता,theory
लिखित,gosh
भगवान,ruined
तबाह,gate
दरवाज़ा,william
विलियम,spread
फैलाना,outta
बाहर,japanese
जापानी,sudden
अचानक,coat
परत,sooner
पहले,cheese
पनीर,larry
लैरी,spring
वसंत,page
पृष्ठ,ears
कान,simon
साइमन,castle
किला,hidden
छिपा हुआ,storm
आंधी,cos
ओल,personally
व्यक्तिगत रूप से,artist
कलाकार,hill
पहाड़ी,exciting
रोमांचक,permission
अनुमति,jerry
जैरी,expensive
महँगा,tickets
टिकट,forest
जंगल,barely
मुश्किल से,eggs
अंडे,goin
में जाना,regret
खेद,lesson
पाठ,lover
प्रेम करनेवाला,bread
रोटी,andy
ANDY,subject
विषय,legal
कानूनी,growing
बढ़ते हुए,ill
बीमार,jason
जेसन,mood
मनोदशा,owner
मालिक,caused
कारण,beeping
बीप,points
अंक,dating
डेटिंग,loss
नुकसान,secretary
सचिव,revenge
बदला,santa
सांता,likely
संभावित,rent
किराया,connection
कनेक्शन,assistant
सहायक,reasons
कारण,yelling
चिल्ला,painting
चित्रकारी,trees
पेड़,doctors
डॉक्टरों,rush
