you,Ty
drinks,napoje
dave,Dawid
buried,pochowany
brian,Brian
trade,handel
journey,podróż
stomach,żołądek
changes,zmiany
details,bliższe dane
thoughts,myśli
divorce,rozwód
funeral,pogrzeb
maria,Maria
football,piłkarski
reality,rzeczywistość
theory,teoria
gosh,kurczę
ruined,zrujnowany
gate,brama
william,William
spread,rozpowszechnianie się
outta,poza
japanese,japoński
sudden,nagły
coat,płaszcz
sooner,wcześniej
cheese,ser
larry,Larry
spring,wiosna
page,strona
ears,uszy
simon,Szymon
castle,zamek
hidden,ukryty
storm,burza
cos,sałata
personally,osobiście
artist,artysta
hill,wzgórze
exciting,ekscytujący
permission,pozwolenie
jerry,nocnik
expensive,drogi
tickets,bilety
forest,las
barely,ledwie
eggs,jajka
goin,iść
regret,żal
lesson,lekcja
lover,kochanek
bread,chleb
andy,Andy
subject,temat
legal,prawny
growing,rozwój
ill,chory
jason,Jason
mood,nastrój
owner,właściciel
caused,spowodowany
beeping,piszczenie
points,zwrotnica
dating,randki
loss,strata
secretary,sekretarz
revenge,zemsta
santa,Święty Mikołaj
likely,prawdopodobnie
rent,wynajem
connection,połączenie
assistant,asystent
reasons,powody
yelling,krzyczeć
painting,malarstwo
trees,drzewa
doctors,lekarze
rush,pośpiech
foreign,zagraniczny
rough,surowy
murderer,morderca
century,wiek
nights,noce
pair,para
runs,biegnie
pocket,kieszeń
farm,gospodarstwo
matt,matowy
bike,rower
obvious,oczywiste
ate,zjadł
grew,urósł
professional,profesjonalny
tim,czas
goodness,dobroć
parts,strony
alan,Alan
university,uniwersytet
square,kwadrat
grandfather,dziadek
europe,Europa
genius,geniusz
cases,sprawy
ruin,ruina
winter,zima
tongue,język
memories,wspomnienia
da,tak
buying,kupowanie
cancer,rak
clock,zegar
ocean,ocean
dna,DNA
liar,kłamca
tour,wycieczka
thief,złodziej
bleep,pikać
lisa,Lisa
rights,prawa
including,w tym
competition,konkurs
smith,kowal
planned,planowany
emily,Emily
boring,nudny
victims,ofiary
mentioned,wspomniany
bones,kości
plant,zakład
bless,błogosławić
warning,ostrzeżenie
knocking,pukanie
re,Odnośnie
crash,rozbić się
bedroom,sypialnia
lower,niżej
silver,srebrny
groaning,jęczenie
madame,pani
defense,obrona
results,wyniki
toilet,toaleta
event,wydarzenie
complicated,skomplikowany
shape,kształt
priest,kapłan
royal,królewski
cheap,tani
romantic,romantyczny
downstairs,na dole
invite,zapraszać
fortune,fortuna
tears,łzy
avoid,unikać
reached,osiągnięty
higher,wyższy
familiar,znajomy
telephone,telefon
burning,palenie
filled,wypełniony
kelly,Kelly
alice,Alicja
airport,lotnisko
jobs,prace
grown,dorosły
walter,walter
rachel,Rachel
giant,gigant
insurance,ubezpieczenie
woods,lasy
n,N
scare,przestraszyć
pleased,zadowolony
period,okres
political,polityczny
player,odtwarzacz
stops,zatrzymuje się
secrets,tajniki
laura,Laura
repeat,powtarzać
photos,zdjęcia
finds,znaleziska
statement,oświadczenie
suck,ssać
younger,mniejszy
china,Chiny
humans,ludzie
delicious,pyszne
particular,konkretny
proper,właściwy
rome,Rzym
belongs,należy
attacked,zaatakowany
bath,wanna
hired,zatrudniony
site,strona
knowledge,wiedza
b,B
led,prowadzony
guests,goście
celebrate,świętować
map,mapa
horn,klakson
eventually,w końcu
pity,szkoda
powers,uprawnienie
ashamed,zawstydzony
assume,przypuszczać
glasses,okulary
rise,wzrastać
fixed,naprawił
request,wniosek
officers,oficerowie
pounds,funtów
data,dane
carefully,ostrożnie
per,za
depends,zależy
jury,jury
waited,czekał
positive,pozytywny
attorney,adwokat
direction,kierunek
families,rodziny
‘clock,'zegar
doin,robić
forces,wojska
location,lokalizacja
walls,ściany
useless,bezużyteczny
grant,dotacja
saving,oszczędność
speaks,mówi
fought,walczył
meal,posiłek
deliver,dostarczać
answers,odpowiedzi
changing,wymiana pieniędzy
temple,świątynia
scary,straszny
millions,miliony
offered,oferowany
regular,regularny
carrying,noszenie
official,urzędnik
jacket,kurtka
switch,przełącznik
grave,grób
chase,pościg
role,rola
odd,dziwne
sexy,seksowny
faces,twarze
becomes,staje się
closes,zamyka się
badly,źle
tall,wysoki
confused,zdezorientowany
affair,romans
television,telewizja
shock,zaszokować
raised,uniesiony
panting,dysząc
pizza,pizza
image,obraz
clears,oczyszcza
golden,złoty
patients,pacjentów
watched,oglądałem
committed,zaangażowany
sexual,seksualny
suffer,cierpieć
arthur,Artur
wherever,wszędzie gdzie
plate,płyta
appear,pojawić się
chocolate,czekolada
clever,sprytny
hm,hmm
mercy,miłosierdzie
shots,strzały
lucy,Lucy
dealing,postępowanie
trap,pułapka
charges,opłaty
phil,Phil
bang,huk
poison,zatruć
butt,krupon
drove,stado
yourselves,się
headed,głowiasty
babies,niemowlęta
yellow,żółty
soup,zupa
mystery,tajemnica
picking,owocobranie
sat,siedział
wound,rana
traffic,ruch drogowy
courage,odwaga
hunt,polowanie
indian,indyjski
rat,szczur
terms,warunki
italian,włoski
emma,Emma
checking,kontrola
disease,choroba
managed,zarządzany
winner,zwycięzca
council,rada
appointment,spotkanie
monday,Poniedziałek
crack,pękać
threat,zagrożenie
jenny,przędzarka
physical,fizyczny
nation,naród
source,źródło
chose,wybrał
healthy,zdrowy
carl,Karol
victory,zwycięstwo
rick,stóg
stood,stał
kicked,kopnął
annie,Ania
disgusting,obrzydliwe
palace,pałac
below,poniżej
shopping,zakupy
neighborhood,sąsiedztwo
march,marzec
lips,usta
midnight,północ
piss,siki
advantage,korzyść
pure,czysty
india,Indie
aside,na bok
jerk,szarpać
mail,poczta
dawn,świt
effect,efekt
spell,zaklęcie
freak,dziwak
wood,drewno
screwed,pijany
enemies,wrogowie
gary,Gary
awake,obudzony
chuckling,chichocząc
vacation,wakacje
violence,przemoc
leo,Lew
grandmother,babcia
modern,nowoczesny
luke,Łukasz
firm,solidny
prime,główny
heh,hehe
touched,wzruszony
talent,talent
whore,kurwa
piano,fortepian
license,licencja
cooking,gotowanie
honour,honor
concern,obawa
moves,ruchy
available,dostępny
factory,fabryka
gods,bogowie
value,wartość
central,centralny
union,unia
mirror,lustro
studio,studio
media,głoska bezdźwięczna
taxi,Taxi
dies,umiera
iron,żelazo
hearts,kiery
desire,pragnienie
rob,obrabować
claire,Klara
fred,Fred
songs,piosenki
washington,Waszyngton
monkey,małpa
pride,duma
pills,pigułki
miracle,cud
swim,pływać
burned,spalony
smells,zapachy
joking,żartować
christian,chrześcijanin
bleeding,krwawienie
hook,hak
beating,bicie
protection,ochrona
treatment,leczenie
ear,ucho
carter,furman
metal,metal
disappear,zniknąć
grateful,wdzięczny
extremely,niezwykle
treasure,skarb
rescue,ratunek
capable,zdolny
passing,przechodzący
chatter,gadać
result,wynik
suffering,cierpienie
sisters,siostry
laid,położony
governor,gubernator
guards,gwardia
louis,Ludwik
text,tekst
literally,dosłownie
remove,usunąć
becoming,twarzowy
performance,wydajność
stronger,silniejszy
rate,wskaźnik
deeply,głęboko
scream,krzyk
desert,pustynia
vehicle,pojazd
illegal,nielegalny
pulling,ciągnięcie
throwing,rzucanie
josh,Josh
unbelievable,niewiarygodny
ted,przetrząsać
zero,zero
dean,dziekan
curious,ciekawski
sean,Sean
candy,słodycze
bone,kość
tied,zawiązany
edge,krawędź
load,obciążenie
susan,Susan
ahh,ach
mountains,góry
boom,wysięgnik
former,dawny
holiday,wakacje
riding,jazda konna
scoffs,drwi
hundreds,setki
motherfucker,skurwiel
sue,pozwać
bags,mnóstwo
stealing,kradzież
appears,pojawia się
arrive,przyjechać
remains,pozostaje
decent,przyzwoity
issues,kwestie
tip,wskazówka
fail,ponieść porażkę
bride,panna młoda
pissed,zalany
penny,grosz
claim,prawo
friendship,przyjaźń
desperate,zdesperowany
flower,kwiat
dramatic,dramatyczny
refuse,odmawiać
solve,rozwiązywać
theme,temat
loving,kochający
properly,odpowiednio
dragon,smok
mostly,głównie
chuck,cmokanie
directly,bezpośrednio
surface,powierzchnia
false,FAŁSZ
cast,rzucać
junior,junior
hunting,polowanie
silent,cichy
thou,ty
egg,jajko
germany,Niemcy
punch,dziurkacz
africa,Afryka
woke,obudził się
intelligence,inteligencja
borrow,pożyczyć
winning,zwycięski
falls,upadki
popular,popularny
escaped,uciekł
witch,czarownica
convinced,przekonany
warn,ostrzegać
announcer,spiker
champagne,szampan
dust,pył
kyle,Kyle
someday,pewnego dnia
fallen,upadły
stranger,nieznajomy
presence,obecność
tear,łza
st.,św.
internet,Internet
monsieur,lord
therefore,W związku z tym
technology,technologia
tires,opony
toast,toast
wise,mądry
clark,Clark
americans,Amerykanie
notes,notatki
smoking,palenie
hank,motek
ls,ls
april,kwiecień
wolf,wilk
precious,cenny
rooms,pokoje
coast,wybrzeże
treated,leczony
material,tworzywo
released,wydany
uniform,mundur
hated,znienawidzony
considered,uważany za
rice,ryż
exchange,giełda
steps,kroki
blake,Blake
convince,przekonać
beast,bestia
cow,krowa
files,akta
signs,znaki
drag,ciągnąć
cab,taksówka
hung,powieszony
carried,przewieziony
ordinary,zwykły
successful,udany
eve,przeddzień
mistakes,błędy
houses,domy
chattering,paplanie
brains,mózg
japan,Japonia
creature,istota
fourth,czwarty
separate,oddzielny
cleaning,czyszczenie
california,Kalifornia
lf,jeśli
ll,ll
shift,zmiana
elizabeth,Elżbieta
chicago,Chicago
exact,dokładny
karen,Karen
goal,bramka
expert,ekspert
served,serwowany
direct,bezpośredni
score,wynik
row,wiersz
marks,znaki
twenty,dwadzieścia
receive,odbierać
series,szereg
section,sekcja
pilot,pilot
jackson,Jackson
darkness,ciemność
thy,twój
sale,sprzedaż
destiny,przeznaczenie
cure,wyleczyć
spoken,mówiony
armed,uzbrojony
rare,rzadki
helen,Helena
grade,stopień
juice,sok
wide,szeroki
tower,wieża
solution,rozwiązanie
schedule,harmonogram
explosion,eksplozja
wheel,koło
cigarette,papieros
julie,Julia
fruit,owoc
blew,dmuchnął
victor,zwycięzca
talks,rozmowy
sacrifice,poświęcenie
range,zakres
button,przycisk
reports,raporty
prisoner,więzień
pie,ciasto
effort,wysiłek
youth,młodzież
pot,garnek
eaten,zjedzony
taylor,Taylor
knees,kolana
garage,garaż
parking,parking
ambulance,ambulans
staring,gapiowski
chances,szanse
circumstances,okoliczności
sin,grzech
gordon,Gordon
progress,postęp
unusual,niezwykłe
county,hrabstwo
stairs,schody
campaign,kampania
‘mon,poniedziałek
vision,wizja
reporter,reporter
equipment,sprzęt
moments,chwile
joey,Joey
mass,masa
alien,obcy
trapped,uwięziony
helps,pomaga
route,trasa
defend,bronić
trace,namierzać
nasty,paskudny
tests,testy
magazine,magazyn
rocks,skały
dump,wysypisko
rude,niegrzeczny
searching,badawczy
clue,wskazówka
connected,połączony
amen,Amen
pushed,pchnięty
merry,radosny
zone,strefa
senior,senior
closing,zamknięcie
freeze,zamrażać
emperor,cesarz
incident,incydent
snake,wąż
mexico,Meksyk
lily,lilia
actor,aktor
newspaper,gazeta
sentence,zdanie
greg,Greg
leading,prowadzący
friendly,przyjazny
jones,Jones
chosen,wybrany
engaged,zaangażowany
julia,Julia
charming,uroczy
mustn,niebezpieczeństwo
anger,gniew
spending,wydatki
learning,nauka
spy,szpieg
sharp,ostry
shadow,cień
warrant,nakaz
elevator,winda
kingdom,królestwo
ricky,Ricky
jamie,Jamie
squad,drużyna
shoulder,ramię
wave,fala
amanda,Amanda
highness,wygórowanie
kinds,rodzaje
fishing,rybacki
sometime,kiedyś
attitude,postawa
sucks,do bani
negative,negatywny
screen,ekran
workers,pracownicy
bored,znudzony
cameras,kamery
similar,podobny
understanding,zrozumienie
beeps,sygnały dźwiękowe
chain,łańcuch
bull,byk
gasping,bez tchu
fully,w pełni
robin,rudzik
collect,zbierać
gorgeous,przepiękny
morgan,Morgan
passion,pasja
writer,pisarz
empire,imperium
international,międzynarodowy
curse,przekleństwo
hire,wynajmować
bastards,dranie
puts,stawia
leads,wskazówki
id,id
blows,ciosy
sons,synowie
estate,nieruchomość
customers,klienci
maggie,Maggie
gunshot,postrzałowy
i—,I-
device,urządzenie
troops,wojsko
hug,uścisk
design,projekt
movement,ruch
thunder,grzmot
object,obiekt
loser,nieudacznik
pen,pióro
sobbing,szlochanie
politics,polityka
despite,pomimo
alcohol,alkohol
climb,wspinać się
clients,klienci
conference,konferencja
provide,dostarczać
marty,męczennik
seek,szukać
witnesses,świadkowie
earn,zarabiać
trash,śmieci
valley,dolina
fashion,moda
howard,Howard
episode,epizod
prize,nagroda
previously,poprzednio
sports,lekkoatletyka
wanting,brakujący
debt,dług
wishes,życzenia
hitler,Hitler
wire,drut
thee,ciebie
circle,koło
approach,zbliżać się
stock,magazyn
facts,fakty
remembered,pamiętał
percent,procent
normally,normalnie
tail,ogon
joined,dołączył
education,edukacja
bravo,Brawo
library,biblioteka
rape,rzepak
wings,skrzydełka
growling,warczenie
thrown,rzucony
tank,zbiornik
exhales,wydycha
authority,władza
current,aktualny
failure,awaria
nightmare,koszmar
hitting,uderzanie
glory,chwała
knocked,znokautowany
studying,uczenie się
barry,Barry
agency,agencja
apple,jabłko
border,granica
rope,lina
duck,kaczka
reputation,reputacja
confidence,zaufanie
yard,dziedziniec
beloved,ukochany
lack,brak
actual,rzeczywisty
skills,umiejętności
films,filmy
mental,psychiczny
salt,sól
flesh,ciało
anne,Anna
secure,bezpieczny
highly,wysoko
federal,federalny
sand,piasek
emotional,emocjonalny
setting,ustawienie
nothin,nic
senator,senator
services,usługi
robbery,rozbój
hates,nienawidzi
fed,karmiony
reward,nagroda
theater,teatr
johnson,Johnson
commit,popełniać
patrick,Patryk
entirely,całkowicie
extraordinary,nadzwyczajny
ships,statki
opposite,naprzeciwko
parties,imprezy
stands,stoi
terry,frotte
chat,pogawędzić
events,wydarzenia
mummy,mumia
bay,zatoka
slip,poślizg
disappointed,zawiedziony
settled,zadomowiony
begins,zaczyna się
andrew,Andrzej
alert,alarm
detail,szczegół
pink,różowy
fellas,chłopaki
accepted,przyjęty
background,tło
garbage,śmieci
panic,panika
minds,umysły
belt,pasek
blowing,dmuchanie
hollywood,Hollywood
agreement,porozumienie
jackie,Jackie
pushing,popychanie
ability,umiejętność
tiger,tygrys
whispering,szeptanie
culture,kultura
saint,święty
jesse,Jesse
task,zadanie
solid,solidny
doll,LALKA
intend,zamierzać
district,dzielnica
pa,rocznie
gee,Ojej
custody,opieka
ignore,ignorować
naturally,naturalnie
useful,użyteczne
attempt,próba
abandoned,opuszczony
cutting,cięcie
kissed,pocałował
guarantee,gwarancja
barking,korowanie
gather,zebrać
policy,polityka
u.s.,nas.
violent,brutalny
maid,pokojówka
embarrassing,żenujący
childhood,dzieciństwo
wasting,zmarnowanie
bow,ukłon
chick,pisklę
sara,Sara
disaster,katastrofa
revolution,rewolucja
online,w sieci
f,F
demon,demon
heavily,mocno
coincidence,zbieg okoliczności
perform,dokonywać
thin,cienki
terrific,wspaniały
mac,prochowiec
crown,korona
identity,tożsamość
virgin,dziewica
impressive,imponujący
windows,okna
no-one,nikt
potential,potencjał
guitar,gitara
committee,komisja
dozen,tuzin
delivery,dostawa
advance,osiągnięcie
quietly,cicho
stan,stan
teaching,nauczanie
hunter,hunter
latest,najnowszy
hurting,raniąc
swing,huśtać się
capital,kapitał
counting,rachunkowość
drew,narysował
dirt,brud
whistle,gwizdek
marie,Maria
hits,trafienia
doug,Doug
deny,zaprzeczyć
urgent,pilny
threatened,zagrożony
behavior,zachowanie
molly,pedał
mixed,mieszany
stays,gorset
assure,zapewniać
subtitles,napisy na filmie obcojęzycznym
explanation,wyjaśnienie
wins,wygrywa
unique,unikalny
chasing,ściganie
billion,miliard
duke,książę
production,produkcja
slave,niewolnik
agents,agenci
carol,kolęda
lets,pozwala
cruel,okrutny
mask,maska
sally,wypad
behave,zachowywać się
bury,pogrzebać
massive,masywny
pathetic,żałosne
species,gatunek
approaching,zbliżający się
jo,jo
loan,pożyczka
struggle,walka
dish,danie
trusted,zaufany
jumped,skoczył
firing,ostrzał
channel,kanał
abby,opactwo
stopping,zatrzymanie
asks,pyta
jean,drelich
swimming,pływacki
daily,codziennie
basement,piwnica
linda,Linda
quarter,kwartał
erm,eee
bound,zobowiązany
navy,marynarka wojenna
article,artykuł
guide,przewodnik
accused,oskarżony
transfer,przenosić
guts,wnętrzności
quality,jakość
fella,facet
roman,rzymski
greater,większy
damned,cholernie
couch,kanapa
cheer,wiwat
vegas,Las Vegas
shoe,but
title,tytuł
shy,nieśmiały
punishment,kara
los,stracić
clicks,kliknięcia
‘you,'Ty
closet,gabinet
bye-bye,żegnaj
fever,gorączka
coward,tchórz
flash,błysk
impressed,pod wrażeniem
bruce,Bruce
siren,syrena
prisoners,więźniowie
sides,boki
bowl,miska
katie,Katie
supply,dostarczać
sensitive,wrażliwy
hopefully,miejmy nadzieję
rolling,walcowanie
roy,król
dollar,dolar
tone,ton
voices,głosy
g,G
‘i,'I
cheating,oszukiwanie
confess,wyznać
demand,popyt
museum,muzeum
unknown,nieznany
drama,dramat
suspicious,podejrzany
adult,dorosły
todd,Todd
frightened,przestraszony
warned,ostrzeżony
steady,stały
kills,zabija
crossed,skrzyżowany
lou,Lou
particularly,w szczególności
sandwich,kanapka
laws,prawa
joint,wspólny
bullets,kule
package,pakiet
trained,przeszkolony
thursday,Czwartek
boots,buty
possibility,możliwość
albert,Albert
civil,cywilny
june,czerwiec
germans,Niemcy
baseball,baseball
express,wyrazić
miserable,nieszczęśliwy
tuesday,Wtorek
parker,Parker
lion,lew
joseph,Józef
refused,odrzucony
shine,świecić
assault,napaść
hong,Hongkong
jokes,żarty
breaks,przerwy
argue,kłócić się
you—,Ty-
trail,ścieżka
option,opcja
recall,przypomnienie sobie czegoś
mighty,potężny
collection,kolekcja
oliver,Oliwier
wilson,Wilson
accent,akcent
believes,wierzy
decisions,decyzje
embarrassed,zażenowany
mobile,przenośny
customer,klient
terribly,niemożliwie
sec,sek
charity,organizacja pożytku publicznego
considering,rozważając
pussy,kiciuś
donna,Donna
protecting,chroniący
flag,flaga
kidnapped,porwany
italy,Włochy
balance,balansować
creatures,stworzenia
nuclear,jądrowy
wallet,portfel
shout,krzyczeć
vincent,Wincenty
entered,wszedł
impression,wrażenie
angela,Angela
jay,sójka
degrees,stopnie
favour,przychylność
reaction,reakcja
network,sieć
jessica,Jessica
version,wersja
concert,koncert
gear,bieg
singer,piosenkarz
diamond,diament
defeat,pokonać
steven,Steven
lane,uliczka
blast,podmuch
wounded,ranny
anytime,kiedykolwiek
partners,wzmacniacz
ages,wieczność
charlotte,Charlotte
ceremony,ceremonia
league,liga
bars,bary
orange,pomarańczowy
specific,specyficzny
conditions,warunki
plastic,plastikowy
crisis,kryzys
fifth,piąty
term,termin
self,ja
offering,ofiara
bud,pączek
suffered,cierpiał
reported,zgłoszono
commissioner,komisarz
rip,rozerwać
mysterious,tajemniczy
entrance,wejście
messed,zepsuty
tunnel,tunel
designed,zaprojektowany
neighbor,sąsiad
aboard,na
sweat,pot
justin,Justyn
ghosts,duchy
crimes,przestępstwa
costs,koszty
deserves,zasługuje
dreaming,śnić
bust,biust
el,el
teddy,miś
kong,kong
messages,wiadomości
enjoying,ciesząc się
afterwards,następnie
