you,ти
laura,Лаура
repeat,повторити
photos,фотографії
finds,знахідки
statement,заява
suck,смоктати
younger,молодший
china,Китай
humans,люди
delicious,смачний
particular,конкретний
proper,належний
rome,Рим
belongs,належить
attacked,напали
bath,ванна
hired,найнятий
site,сайт
knowledge,знання
b,б
led,світлодіодний
guests,гості
celebrate,святкувати
map,карта
horn,ріг
eventually,зрештою
pity,шкода
powers,повноваження
ashamed,соромно
assume,припускати
glasses,окуляри
rise,підйом
fixed,фіксований
request,запит
officers,офіцери
pounds,фунти
data,дані
carefully,обережно
per,за
depends,залежить
jury,журі
waited,чекав
positive,позитивний
attorney,адвокат
direction,напрямок
families,сім'ї
‘clock,годинник
doin,справи
forces,сили
location,місцезнаходження
walls,стіни
useless,марний
grant,грант
saving,заощадження
speaks,говорить
fought,боровся
meal,прийом їжі
deliver,доставити
answers,відповіді
changing,змінюється
temple,храм
scary,страшний
millions,мільйони
offered,запропоновано
regular,звичайний
carrying,несучи
official,офіційний
jacket,куртка
switch,перемикач
grave,могила
chase,погоня
role,роль
odd,дивний
sexy,сексуальний
faces,обличчя
becomes,стає
closes,закривається
badly,погано
tall,високий
confused,збентежений
affair,справа
television,телебачення
shock,шок
raised,піднятий
panting,задихаючись
pizza,піца
image,зображення
clears,очищає
golden,золотий
patients,пацієнти
watched,дивився
committed,відданий
sexual,сексуальний
suffer,страждати
arthur,Артур
wherever,де завгодно
plate,тарілка
appear,з'являються
chocolate,шоколад
clever,розумний
hm,гм
mercy,милосердя
shots,постріли
lucy,Люсі
dealing,діла
trap,пастка
charges,звинувачення
phil,Філ
bang,вибух
poison,отрута
butt,сідниці
drove,поїхав
yourselves,себе
headed,очолював
babies,немовлята
yellow,жовтий
soup,суп
mystery,таємниця
picking,збирання
sat,сидів
wound,рана
traffic,трафік
courage,мужність
hunt,полювання
indian,індійський
rat,щур
terms,умови
italian,італійська
emma,Емма
checking,перевірка
disease,захворювання
managed,керований
winner,переможець
council,рада
appointment,призначення
monday,понеділок
crack,тріщина
threat,загроза
jenny,Дженні
physical,фізичний
nation,нація
source,джерело
chose,вибрав
healthy,здоровий
carl,Карл
victory,перемога
rick,рик
stood,стояв
kicked,штовхнули
annie,Енні
disgusting,огидний
palace,палац
below,нижче
shopping,шопінг
neighborhood,околиці
march,березень
lips,губи
midnight,опівночі
piss,мочитися
advantage,перевага
pure,чистий
india,Індія
aside,осторонь
jerk,йолопак
mail,пошта
dawn,світанок
effect,ефект
spell,заклинання
freak,виродок
wood,дерево
screwed,пригвинчений
enemies,вороги
gary,Гарі
awake,неспаний
chuckling,хихикання
vacation,відпустка
violence,насильство
leo,лев
grandmother,бабуся
modern,сучасний
luke,Лука
firm,фірма
prime,прем'єр
heh,хех
touched,торкнувся
talent,талант
whore,повія
piano,фортепіано
license,ліцензія
cooking,приготування їжі
honour,честь
concern,занепокоєння
moves,рухається
available,доступний
factory,завод
gods,боги
value,значення
central,центральний
union,союз
mirror,дзеркало
studio,студія
media,медіа
taxi,таксі
dies,вмирає
iron,залізо
hearts,серця
desire,бажання
rob,пограбувати
claire,Клер
fred,Фред
songs,пісні
washington,Вашингтон
monkey,мавпа
pride,гордість
pills,таблетки
miracle,диво
swim,плавати
burned,спалений
smells,запахи
joking,жартувати
christian,християнин
bleeding,кровотеча
hook,гачок
beating,побиття
